muestras,procesos,hilos,pi_paralelo,tiempo_paralelo,speedup,diferencia_pi
100000,4,16,3.149120000000,0.000623,1.30,5.560000e-03
100000,4,20,3.148800000000,0.001682,1.16,6.680000e-03
100000,8,1,3.154360000000,0.001225,7.80,1.404000e-02
100000,8,2,3.149080000000,0.001096,3.44,6.240000e-03
100000,8,4,3.150240000000,0.001409,2.62,7.920000e-03
100000,8,8,3.140240000000,0.001104,1.22,1.080000e-02
100000,8,16,3.147600000000,0.001034,0.77,4.040000e-03
100000,8,20,3.151640000000,0.002684,0.63,9.520000e-03
100000,16,1,3.147200000000,0.000907,5.14,6.880000e-03
100000,16,2,3.142400000000,0.001288,4.91,4.400000e-04
100000,16,4,3.144520000000,0.001567,4.17,2.200000e-03
100000,16,8,3.145280000000,0.002714,1.01,5.760000e-03
100000,16,16,3.148200000000,0.004320,0.69,4.640000e-03
100000,16,20,3.144280000000,0.005076,0.73,2.160000e-03
100000,20,1,3.145160000000,0.001012,4.85,4.840000e-03
100000,20,2,3.143280000000,0.001078,5.89,4.400000e-04
100000,20,4,3.138040000000,0.001032,2.27,4.280000e-03
100000,20,8,3.143760000000,0.002243,2.09,7.280000e-03
100000,20,16,3.146000000000,0.003484,1.81,2.440000e-03
100000,20,20,3.143520000000,0.004457,1.70,1.400000e-03
1000000,1,1,3.140040000000,0.013864,1.17,1.260000e-03
1000000,1,2,3.140964000000,0.006995,1.74,3.760000e-04
1000000,1,4,3.140668000000,0.004335,1.92,8.480000e-04
1000000,1,8,3.142036000000,0.005681,1.65,3.720000e-04
1000000,1,16,3.142916000000,0.004150,1.32,4.988000e-03
1000000,1,20,3.142732000000,0.004836,0.87,3.808000e-03
1000000,2,1,3.140468000000,0.006939,2.38,8.320000e-04
1000000,2,2,3.141748000000,0.006213,1.87,1.160000e-03
1000000,2,4,3.141336000000,0.005196,1.98,1.516000e-03
1000000,2,8,3.143840000000,0.004408,2.18,2.176000e-03
1000000,2,16,3.143860000000,0.002377,2.83,5.932000e-03
1000000,2,20,3.144272000000,0.003331,1.77,5.348000e-03
1000000,4,1,3.142976000000,0.003514,5.20,1.676000e-03
1000000,4,2,3.141944000000,0.006067,1.85,1.356000e-03
1000000,4,4,3.141008000000,0.003183,4.93,1.188000e-03
1000000,4,8,3.143900000000,0.002218,4.26,2.236000e-03
1000000,4,16,3.145596000000,0.003393,1.64,7.668000e-03
1000000,4,20,3.146184000000,0.005922,1.20,7.260000e-03
1000000,8,1,3.143676000000,0.005722,4.36,2.376000e-03
1000000,8,2,3.142248000000,0.003045,5.44,1.660000e-03
1000000,8,4,3.144152000000,0.002218,8.18,4.332000e-03
1000000,8,8,3.143892000000,0.002322,3.71,2.228000e-03
1000000,8,16,3.144808000000,0.007037,1.71,6.880000e-03
1000000,8,20,3.143772000000,0.002154,4.30,4.848000e-03
1000000,16,1,3.144836000000,0.002899,21.48,3.536000e-03
1000000,16,2,3.144140000000,0.002075,21.04,3.552000e-03
1000000,16,4,3.145220000000,0.004594,6.47,5.400000e-03
1000000,16,8,3.144380000000,0.003557,5.71,2.716000e-03
1000000,16,16,3.142608000000,0.004255,3.07,4.680000e-03
1000000,16,20,3.143456000000,0.006191,3.65,4.532000e-03
1000000,20,1,3.142448000000,0.003107,18.75,1.148000e-03
1000000,20,2,3.143216000000,0.003633,5.42,2.628000e-03
1000000,20,4,3.144412000000,0.002788,9.00,4.592000e-03
1000000,20,8,3.141528000000,0.003183,7.55,1.360000e-04
1000000,20,16,3.143396000000,0.004406,6.10,5.468000e-03
1000000,20,20,3.144300000000,0.004240,6.64,5.376000e-03
10000000,1,1,3.141478800000,0.137987,1.03,4.188000e-04
10000000,1,2,3.141211200000,0.069054,1.05,2.160000e-05
10000000,1,4,3.141077200000,0.036803,1.59,3.948000e-04
10000000,1,8,3.141580000000,0.029743,1.18,4.304000e-04
10000000,1,16,3.140818800000,0.036274,0.89,1.344000e-04
10000000,1,20,3.140941200000,0.049101,0.53,2.576000e-04
10000000,2,1,3.141051600000,0.071282,1.97,8.460000e-04
10000000,2,2,3.140972800000,0.046516,1.57,2.168000e-04
10000000,2,4,3.140816800000,0.044085,1.00,6.552000e-04
10000000,2,8,3.141372800000,0.028536,1.51,2.232000e-04
10000000,2,16,3.141502400000,0.024122,1.36,8.180000e-04
10000000,2,20,3.141229600000,0.022705,1.36,3.080000e-05
10000000,4,1,3.141370800000,0.034850,4.00,5.268000e-04
10000000,4,2,3.141415200000,0.032993,2.26,2.256000e-04
10000000,4,4,3.141198400000,0.031147,2.03,2.736000e-04
10000000,4,8,3.142087600000,0.022007,2.27,9.380000e-04
10000000,4,16,3.142026800000,0.017497,1.86,1.342400e-03
10000000,4,20,3.142132800000,0.017140,2.00,9.340000e-04
10000000,8,1,3.141752400000,0.053543,2.77,1.452000e-04
10000000,8,2,3.142044800000,0.031326,7.27,8.552000e-04
10000000,8,4,3.141908000000,0.019226,6.04,4.360000e-04
10000000,8,8,3.141610000000,0.019749,4.75,4.604000e-04
10000000,8,16,3.141716800000,0.015955,4.92,1.032400e-03
10000000,8,20,3.142157200000,0.015170,4.52,9.584000e-04
10000000,16,1,3.142225200000,0.028190,16.27,3.276000e-04
10000000,16,2,3.142300400000,0.021354,22.11,1.110800e-03
10000000,16,4,3.141806800000,0.017682,7.70,3.348000e-04
10000000,16,8,3.141762400000,0.016563,8.18,6.128000e-04
10000000,16,16,3.141877600000,0.016779,4.62,1.193200e-03
10000000,16,20,3.142133600000,0.019444,3.54,9.348000e-04
10000000,20,1,3.142297200000,0.022588,20.48,3.996000e-04
10000000,20,2,3.141631600000,0.022503,4.70,4.420000e-04
10000000,20,4,3.141360400000,0.020351,5.12,1.116000e-04
10000000,20,8,3.141478400000,0.016549,6.05,3.288000e-04
10000000,20,16,3.142013200000,0.016753,5.09,1.328800e-03
10000000,20,20,3.141921200000,0.016418,6.34,7.224000e-04
