pasos,procesos,hilos,pi_paralelo,tiempo_paralelo,speedup,diferencia_pi
100000,4,16,3.141592653598,0.000959,0.62,1.776357e-15
100000,4,20,3.141592653598,0.001142,0.54,4.440892e-16
100000,8,1,3.141592653598,0.000175,1.89,3.641532e-14
100000,8,2,3.141592653598,0.000261,1.57,2.131628e-14
100000,8,4,3.141592653598,0.000565,0.60,0.000000e+00
100000,8,8,3.141592653598,0.001285,0.22,4.440892e-16
100000,8,16,3.141592653598,0.001698,0.36,1.332268e-15
100000,8,20,3.141592653598,0.001068,0.61,1.332268e-15
100000,16,1,3.141592653598,0.000375,1.97,3.730349e-14
100000,16,2,3.141592653598,0.000461,0.96,1.953993e-14
100000,16,4,3.141592653598,0.000605,1.05,1.332268e-15
100000,16,8,3.141592653598,0.001867,0.60,8.881784e-16
100000,16,16,3.141592653598,0.002924,0.51,4.440892e-16
100000,16,20,3.141592653598,0.002114,0.42,8.881784e-16
100000,20,1,3.141592653598,0.000147,2.99,3.597123e-14
100000,20,2,3.141592653598,0.000221,4.02,1.865175e-14
100000,20,4,3.141592653598,0.000683,1.54,0.000000e+00
100000,20,8,3.141592653598,0.001329,0.40,1.776357e-15
100000,20,16,3.141592653598,0.002189,0.71,1.776357e-15
100000,20,20,3.141592653598,0.003923,0.59,8.881784e-16
1000000,1,1,3.141592653590,0.004800,1.16,0.000000e+00
1000000,1,2,3.141592653590,0.001465,1.38,0.000000e+00
1000000,1,4,3.141592653590,0.001409,1.13,0.000000e+00
1000000,1,8,3.141592653590,0.001081,1.25,4.440892e-16
1000000,1,16,3.141592653590,0.000657,1.46,4.440892e-16
1000000,1,20,3.141592653590,0.000586,1.49,8.881784e-16
1000000,2,1,3.141592653590,0.001439,1.86,1.350031e-13
1000000,2,2,3.141592653590,0.001165,1.52,2.398082e-14
1000000,2,4,3.141592653590,0.001221,1.77,3.996803e-15
1000000,2,8,3.141592653590,0.000853,1.37,8.881784e-16
1000000,2,16,3.141592653590,0.000956,0.97,1.776357e-15
1000000,2,20,3.141592653590,0.001335,0.83,1.332268e-15
1000000,4,1,3.141592653590,0.000777,4.52,1.110223e-13
1000000,4,2,3.141592653590,0.000864,3.35,2.842171e-14
1000000,4,4,3.141592653590,0.001005,2.26,2.664535e-15
1000000,4,8,3.141592653590,0.001120,1.44,2.664535e-15
1000000,4,16,3.141592653590,0.001031,0.87,4.884981e-15
1000000,4,20,3.141592653590,0.001115,0.95,2.664535e-15
1000000,8,1,3.141592653590,0.001343,6.82,1.070255e-13
1000000,8,2,3.141592653590,0.001396,3.54,2.664535e-14
1000000,8,4,3.141592653590,0.001108,1.80,8.881784e-16
1000000,8,8,3.141592653590,0.001050,1.09,6.661338e-15
1000000,8,16,3.141592653590,0.002639,0.93,3.552714e-15
1000000,8,20,3.141592653590,0.001529,1.14,2.220446e-15
1000000,16,1,3.141592653590,0.000559,15.94,1.083578e-13
1000000,16,2,3.141592653590,0.001130,5.37,2.531308e-14
1000000,16,4,3.141592653590,0.001108,2.90,2.220446e-15
1000000,16,8,3.141592653590,0.002603,1.17,4.884981e-15
1000000,16,16,3.141592653590,0.003394,0.85,3.552714e-15
1000000,16,20,3.141592653590,0.004381,1.35,1.332268e-15
1000000,20,1,3.141592653590,0.001220,9.68,1.092459e-13
1000000,20,2,3.141592653590,0.000934,3.79,2.664535e-14
1000000,20,4,3.141592653590,0.001068,2.98,1.776357e-15
1000000,20,8,3.141592653590,0.002140,3.29,4.884981e-15
1000000,20,16,3.141592653590,0.003204,1.42,3.552714e-15
1000000,20,20,3.141592653590,0.004236,1.23,2.220446e-15
10000000,1,1,3.141592653590,0.022801,1.27,0.000000e+00
10000000,1,2,3.141592653590,0.011044,1.34,0.000000e+00
10000000,1,4,3.141592653590,0.005677,1.64,0.000000e+00
10000000,1,8,3.141592653590,0.005222,1.68,0.000000e+00
10000000,1,16,3.141592653590,0.007911,0.80,8.881784e-16
10000000,1,20,3.141592653590,0.005173,0.82,4.440892e-16
10000000,2,1,3.141592653590,0.010658,2.52,1.918465e-13
10000000,2,2,3.141592653590,0.009948,1.38,2.531308e-13
10000000,2,4,3.141592653590,0.008236,0.95,1.341149e-13
10000000,2,8,3.141592653590,0.006750,1.49,4.440892e-16
10000000,2,16,3.141592653590,0.004559,1.21,8.881784e-16
10000000,2,20,3.141592653590,0.006581,1.02,8.881784e-16
10000000,4,1,3.141592653590,0.005640,4.46,6.128431e-14
10000000,4,2,3.141592653590,0.007441,1.94,1.190159e-13
10000000,4,4,3.141592653590,0.006093,2.17,1.332268e-13
10000000,4,8,3.141592653590,0.007523,1.41,8.881784e-16
10000000,4,16,3.141592653590,0.003642,1.71,8.881784e-15
10000000,4,20,3.141592653590,0.006519,1.26,1.731948e-14
10000000,8,1,3.141592653590,0.006819,7.81,7.283063e-14
10000000,8,2,3.141592653590,0.006263,4.75,1.194600e-13
10000000,8,4,3.141592653590,0.003794,4.60,1.332268e-13
10000000,8,8,3.141592653590,0.007061,1.87,9.325873e-15
10000000,8,16,3.141592653590,0.006704,1.85,9.769963e-15
10000000,8,20,3.141592653590,0.008685,1.57,1.598721e-14
10000000,16,1,3.141592653590,0.005506,24.44,7.194245e-14
10000000,16,2,3.141592653590,0.003782,10.44,1.199041e-13
10000000,16,4,3.141592653590,0.004609,4.45,1.243450e-13
10000000,16,8,3.141592653590,0.005423,2.86,9.769963e-15
10000000,16,16,3.141592653590,0.003953,10.85,9.325873e-15
10000000,16,20,3.141592653590,0.004870,3.33,1.731948e-14
10000000,20,1,3.141592653590,0.004944,7.40,7.904788e-14
10000000,20,2,3.141592653590,0.003237,21.77,1.132427e-13
10000000,20,4,3.141592653590,0.003719,7.26,1.234568e-13
10000000,20,8,3.141592653590,0.003955,7.00,1.065814e-14
10000000,20,16,3.141592653590,0.005226,5.67,9.325873e-15
10000000,20,20,3.141592653590,0.005768,3.40,1.465494e-14
